Rating.Agency_Egan-Jones Ratings Company,Rating.Agency_Fitch Ratings,Rating.Agency_Moody's Investors Service,Rating.Agency_Standard & Poor's Ratings Services,Rating,Binary.Rating,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current.Ratio,Long.term.Debt...Capital,Debt.Equity.Ratio,Gross.Margin,Net.Profit.Margin,Asset.Turnover,ROE...Return.On.Equity,Return.On.Tangible.Equity,ROA...Return.On.Assets,ROI...Return.On.Investment,Operating.Cash.Flow.Per.Share,Free.Cash.Flow.Per.Share
0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8361,0.4769,1.1191,39.6503,7.4179,0.4221,11.3803,11.3803,3.1311,5.9535,9.0433,3.9589
0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0265,0.4582,0.9539,45.1846,7.5446,0.3074,3.7913,4.3876,1.2301,1.9302,0.9567,-2.1853
0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6667,0.3631,0.5701,72.2395,6.0995,1.126,13.4552,-764.9637,6.8681,8.5698,4.9592,3.972
0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5842,0.5897,1.4374,100,14.3299,0.3661,22.5964,-22.3017,6.1655,9.2717,0.4769,0.303
0,0,0,1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,2.9659,0.246,0.3288,50.0351,24.8878,0.6164,24.0025,24.7254,15.4266,18.0982,1.1322,0.6584
0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,2.9659,0.246,0.3288,50.0351,24.8878,0.6164,24.0025,24.7254,15.4266,18.0982,1.1322,0.6584
0,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1.5491,0.3207,0.5489,47.7195,23.8597,0.2569,6.7165,7.5805,3.2783,4.5626,4.4575,3.5759
0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9941,0.5642,1.3038,55.6678,6.5341,0.2838,5.7311,7.3962,2.0002,2.4976,2.5387,-1.3875
0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1.2311,0.0617,0.0901,7.532,2.6604,1.8265,10.6379,24.8466,4.8592,9.9812,-0.5307,-1.2423
0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3661,0.3479,0.535,86.5591,4.9829,1.3123,16.9743,28.7104,7.6744,11.0683,5.5076,1.6435
0,0,0,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,2.612,1.0097,-108.8904,27.9613,3.095,1.0897,-529.8164,-22.1101,3.3725,5.1331,0.05,0.016
0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1.5085,0.4393,0.798,64.1566,8.3021,0.3476,7.5939,7.5939,2.8669,4.2582,2.4005,5.026
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.7866,0.327,0.7097,57.0634,18.6767,0.5851,24.78,155.4933,10.9275,16.677,4.6782,3.9779
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.7866,0.327,0.7097,57.0634,18.6767,0.5851,24.78,155.4933,10.9275,16.677,4.6782,3.9779
0,0,0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3519,0.3911,0.7246,27.0099,11.9439,0.638,16.9721,21.5018,7.1598,10.3341,0.6135,1.5522
0,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1.1666,0.5429,1.3879,100,6.5501,0.7639,22.7067,22.7067,5.0034,10.3788,1.7357,3.5875
0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1.2911,0.4434,0.8932,55.6386,3.2387,0.3793,4.6419,4.267,1.4254,2.3751,2.9773,-2.2315
